id;annotations/0/id;annotations/0/completed_by;annotations/0/result/0/original_width;annotations/0/result/0/original_height;annotations/0/result/0/image_rotation;annotations/0/result/0/value/x;annotations/0/result/0/value/y;annotations/0/result/0/value/width;annotations/0/result/0/value/height;annotations/0/result/0/value/rotation;annotations/0/result/0/value/rectanglelabels/0;annotations/0/result/0/id;annotations/0/result/0/from_name;annotations/0/result/0/to_name;annotations/0/result/0/type;annotations/0/result/0/origin;annotations/0/was_cancelled;annotations/0/ground_truth;annotations/0/created_at;annotations/0/updated_at;annotations/0/lead_time;annotations/0/result_count;annotations/0/task;annotations/0/project;annotations/0/parent_prediction;annotations/0/parent_annotation;file_upload;data/image;created_at;updated_at;inner_id;total_annotations;cancelled_annotations;total_predictions;comment_count;unresolved_comment_count;last_comment_updated_at;project;updated_by;drafts/0/id;drafts/0/user;drafts/0/created_username;drafts/0/created_ago;drafts/0/result/0/original_width;drafts/0/result/0/original_height;drafts/0/result/0/image_rotation;drafts/0/result/0/value/x;drafts/0/result/0/value/y;drafts/0/result/0/value/width;drafts/0/result/0/value/height;drafts/0/result/0/value/rotation;drafts/0/result/0/value/rectanglelabels/0;drafts/0/result/0/id;drafts/0/result/0/from_name;drafts/0/result/0/to_name;drafts/0/result/0/type;drafts/0/result/0/origin;drafts/0/lead_time;drafts/0/was_postponed;drafts/0/created_at;drafts/0/updated_at;drafts/0/task;drafts/0/annotation
1;2;1;480;480;0;48.87780548628429;28.92768079800499;12.468827930174564;15.710723192019952;0;1;kE_Wffj9T5;label;image;rectanglelabels;manual;false;false;2023-01-03T19:57:31.116268Z;2023-01-03T19:57:40.867014Z;24.259;0;1;1;;;f530dafb-d20_color303.jpg;/data/upload/1/f530dafb-d20_color303.jpg;2023-01-03T19:51:53.360588Z;2023-01-03T19:57:44.087293Z;1;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
2;3;1;480;480;0;43.89027431421445;32.668329177057366;14.713216957605985;13.216957605985039;0;1;MQw3xnAjHX;label;image;rectanglelabels;manual;false;false;2023-01-03T19:58:00.444609Z;2023-01-03T19:58:00.444637Z;10.783;0;2;1;;;ba91c82d-d20_color387.jpg;/data/upload/1/ba91c82d-d20_color387.jpg;2023-01-03T19:51:53.360672Z;2023-01-03T19:58:05.937839Z;2;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
3;4;1;480;480;0;41.14713216957606;17.705735660847875;13.466334164588526;19.201995012468828;0;1;gNMYK7qbD3;label;image;rectanglelabels;manual;false;false;2023-01-03T19:58:35.036593Z;2023-01-03T19:58:35.036622Z;8.374;0;3;1;;;39d3b195-d20_off-angle_0052.jpg;/data/upload/1/39d3b195-d20_off-angle_0052.jpg;2023-01-03T19:51:53.360723Z;2023-01-03T19:58:38.605955Z;3;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
4;5;1;480;480;0;43.14214463840399;54.3640897755611;13.715710723192021;16.209476309226932;0;1;JKoKX8uvfi;label;image;rectanglelabels;manual;false;false;2023-01-03T19:59:00.091693Z;2023-01-03T19:59:00.091760Z;17.882;0;4;1;;;a80f8ecc-d20_top_426.jpg;/data/upload/1/a80f8ecc-d20_top_426.jpg;2023-01-03T19:51:53.360770Z;2023-01-03T19:59:04.753269Z;4;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
5;6;1;480;480;0;43.64089775561097;21.69576059850374;12.219451371571072;13.715710723192021;0;1;kkHgXGT2e9;label;image;rectanglelabels;manual;false;false;2023-01-03T19:59:28.860505Z;2023-01-03T19:59:28.860535Z;15.815;0;5;1;;;ee55504d-d20_off-angle_0067.jpg;/data/upload/1/ee55504d-d20_off-angle_0067.jpg;2023-01-03T19:51:53.360815Z;2023-01-03T19:59:31.650118Z;5;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
6;7;1;480;480;0;50.374064837905244;49.12718204488778;15.211970074812967;20.448877805486283;0;1;MiOrSxmVtF;label;image;rectanglelabels;manual;false;false;2023-01-03T19:59:48.239144Z;2023-01-03T19:59:48.239171Z;8.24;0;6;1;;;2f409332-d20_top_445.jpg;/data/upload/1/2f409332-d20_top_445.jpg;2023-01-03T19:51:53.360861Z;2023-01-03T19:59:51.373621Z;6;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
7;8;1;480;480;0;50.12468827930174;35.910224438902745;15.211970074812967;15.46134663341646;0;1;qgs9k1tC2W;label;image;rectanglelabels;manual;false;false;2023-01-03T20:00:02.770064Z;2023-01-03T20:00:02.770092Z;8.678;0;7;1;;;f2d69e04-d20_color367.jpg;/data/upload/1/f2d69e04-d20_color367.jpg;2023-01-03T19:51:53.360907Z;2023-01-03T20:00:06.193553Z;7;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
8;9;1;480;480;0;52.36907730673317;29.67581047381546;11.970074812967582;15.46134663341646;0;1;JSK1eEyfp9;label;image;rectanglelabels;manual;false;false;2023-01-03T20:00:25.360985Z;2023-01-03T20:00:25.361014Z;8.345;0;8;1;;;fb7985df-d20_color320.jpg;/data/upload/1/fb7985df-d20_color320.jpg;2023-01-03T19:51:53.360953Z;2023-01-03T20:00:28.732311Z;8;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
9;10;1;480;480;0;50.12468827930174;30.92269326683292;14.463840399002494;13.965087281795508;0;1;CrMvUz7XGE;label;image;rectanglelabels;manual;false;false;2023-01-03T20:00:44.313850Z;2023-01-03T20:00:44.313878Z;7.322;0;9;1;;;07d40cc3-d20_color316.jpg;/data/upload/1/07d40cc3-d20_color316.jpg;2023-01-03T19:51:53.360998Z;2023-01-03T20:00:47.436909Z;9;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
10;11;1;480;480;0;50.62344139650873;34.91271820448879;16.70822942643392;15.46134663341646;0;1;wNq04FIPWF;label;image;rectanglelabels;manual;false;false;2023-01-03T20:01:13.256446Z;2023-01-03T20:01:13.256473Z;9.688;0;10;1;;;057f159b-d20_color355.jpg;/data/upload/1/057f159b-d20_color355.jpg;2023-01-03T19:51:53.361042Z;2023-01-03T20:01:17.101266Z;10;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
11;12;1;480;480;0;36.408977556109726;22.942643391521198;20.947630922693268;13.965087281795508;0;1;Y7pHllqa1a;label;image;rectanglelabels;manual;false;false;2023-01-03T20:01:29.250118Z;2023-01-03T20:01:29.250145Z;8.737;0;11;1;;;393dc68c-d20_off-angle_0020.jpg;/data/upload/1/393dc68c-d20_off-angle_0020.jpg;2023-01-03T19:51:53.361086Z;2023-01-03T20:01:32.484880Z;11;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
12;13;1;480;480;0;38.65336658354116;22.194513715710723;19.950124688279303;13.216957605985039;0;1;RTrNW9NxMI;label;image;rectanglelabels;manual;false;false;2023-01-03T20:01:45.509382Z;2023-01-03T20:01:45.509410Z;10.756;0;12;1;;;a22cb931-d20_off-angle_0090.jpg;/data/upload/1/a22cb931-d20_off-angle_0090.jpg;2023-01-03T19:51:53.361130Z;2023-01-03T20:01:48.420815Z;12;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
13;14;1;480;480;0;50.87281795511222;33.41645885286784;18.70324189526185;14.463840399002494;0;1;jWj5efYges;label;image;rectanglelabels;manual;false;false;2023-01-03T20:02:00.991475Z;2023-01-03T20:02:00.991504Z;6.829;0;13;1;;;b852f233-d20_color346.jpg;/data/upload/1/b852f233-d20_color346.jpg;2023-01-03T19:51:53.361174Z;2023-01-03T20:02:04.432240Z;13;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
14;15;1;480;480;0;52.61845386533666;32.668329177057366;12.718204488778055;12.967581047381547;0;1;UVgF49gA3X;label;image;rectanglelabels;manual;false;false;2023-01-03T20:02:13.795729Z;2023-01-03T20:02:13.795760Z;6.598;0;14;1;;;9e21d37e-d20_color332.jpg;/data/upload/1/9e21d37e-d20_color332.jpg;2023-01-03T19:51:53.361217Z;2023-01-03T20:02:19.150854Z;14;1;0;0;0;0;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
